id,target
boostcamp-sts-v1-test-000,3.37
boostcamp-sts-v1-test-001,4.26
boostcamp-sts-v1-test-002,2.05
boostcamp-sts-v1-test-003,0.24
boostcamp-sts-v1-test-004,4.31
boostcamp-sts-v1-test-005,2.52
boostcamp-sts-v1-test-006,4.64
boostcamp-sts-v1-test-007,1.23
boostcamp-sts-v1-test-008,0.38
boostcamp-sts-v1-test-009,4.16
boostcamp-sts-v1-test-010,2.15
boostcamp-sts-v1-test-011,2.22
boostcamp-sts-v1-test-012,3.12
boostcamp-sts-v1-test-013,2.52
boostcamp-sts-v1-test-014,0.94
boostcamp-sts-v1-test-015,4.45
boostcamp-sts-v1-test-016,4.67
boostcamp-sts-v1-test-017,2.54
boostcamp-sts-v1-test-018,4.58
boostcamp-sts-v1-test-019,4.66
boostcamp-sts-v1-test-020,1.99
boostcamp-sts-v1-test-021,2.29
boostcamp-sts-v1-test-022,2.42
boostcamp-sts-v1-test-023,0.82
boostcamp-sts-v1-test-024,1.67
boostcamp-sts-v1-test-025,2.46
boostcamp-sts-v1-test-026,0.62
boostcamp-sts-v1-test-027,1.83
boostcamp-sts-v1-test-028,3.7
boostcamp-sts-v1-test-029,3.23
boostcamp-sts-v1-test-030,4.54
boostcamp-sts-v1-test-031,0.85
boostcamp-sts-v1-test-032,2.97
boostcamp-sts-v1-test-033,2.47
boostcamp-sts-v1-test-034,3.78
boostcamp-sts-v1-test-035,0.58
boostcamp-sts-v1-test-036,3.23
boostcamp-sts-v1-test-037,0.29
boostcamp-sts-v1-test-038,2.97
boostcamp-sts-v1-test-039,3.69
boostcamp-sts-v1-test-040,0.55
boostcamp-sts-v1-test-041,3.82
boostcamp-sts-v1-test-042,0.36
boostcamp-sts-v1-test-043,1.02
boostcamp-sts-v1-test-044,2.13
boostcamp-sts-v1-test-045,4.78
boostcamp-sts-v1-test-046,0.91
boostcamp-sts-v1-test-047,0.94
boostcamp-sts-v1-test-048,0.48
boostcamp-sts-v1-test-049,2.44
boostcamp-sts-v1-test-050,0.07
boostcamp-sts-v1-test-051,1.52
boostcamp-sts-v1-test-052,4.04
boostcamp-sts-v1-test-053,3.11
boostcamp-sts-v1-test-054,4.44
boostcamp-sts-v1-test-055,1.18
boostcamp-sts-v1-test-056,4.14
boostcamp-sts-v1-test-057,1.23
boostcamp-sts-v1-test-058,2.3
boostcamp-sts-v1-test-059,4.1
boostcamp-sts-v1-test-060,4.5
boostcamp-sts-v1-test-061,3.46
boostcamp-sts-v1-test-062,1.07
boostcamp-sts-v1-test-063,1.6
boostcamp-sts-v1-test-064,3.01
boostcamp-sts-v1-test-065,4.6
boostcamp-sts-v1-test-066,2.93
boostcamp-sts-v1-test-067,0.47
boostcamp-sts-v1-test-068,2.26
boostcamp-sts-v1-test-069,3.21
boostcamp-sts-v1-test-070,0.33
boostcamp-sts-v1-test-071,3.07
boostcamp-sts-v1-test-072,4.47
boostcamp-sts-v1-test-073,4.33
boostcamp-sts-v1-test-074,0.09
boostcamp-sts-v1-test-075,2.39
boostcamp-sts-v1-test-076,3.37
boostcamp-sts-v1-test-077,1.91
boostcamp-sts-v1-test-078,2.07
boostcamp-sts-v1-test-079,4.42
