id,target
boostcamp-sts-v1-test-000,3.3356254
boostcamp-sts-v1-test-001,4.8102508
boostcamp-sts-v1-test-002,2.195686
boostcamp-sts-v1-test-003,0.14479662
boostcamp-sts-v1-test-004,4.457603
boostcamp-sts-v1-test-005,3.3679965
boostcamp-sts-v1-test-006,4.5493712
boostcamp-sts-v1-test-007,1.4013628
boostcamp-sts-v1-test-008,0.29066414
boostcamp-sts-v1-test-009,4.7407265
boostcamp-sts-v1-test-010,1.6614712
boostcamp-sts-v1-test-011,3.0383406
boostcamp-sts-v1-test-012,2.6248498
boostcamp-sts-v1-test-013,2.308097
boostcamp-sts-v1-test-014,2.0358722
boostcamp-sts-v1-test-015,4.737823
boostcamp-sts-v1-test-016,5.033423
boostcamp-sts-v1-test-017,3.0824664
boostcamp-sts-v1-test-018,5.0207114
boostcamp-sts-v1-test-019,4.72726
boostcamp-sts-v1-test-020,3.3270643
boostcamp-sts-v1-test-021,2.4910505
boostcamp-sts-v1-test-022,1.6046863
boostcamp-sts-v1-test-023,0.61224
boostcamp-sts-v1-test-024,1.870008
boostcamp-sts-v1-test-025,2.1465106
boostcamp-sts-v1-test-026,1.1912569
boostcamp-sts-v1-test-027,1.5299566
boostcamp-sts-v1-test-028,4.2307305
boostcamp-sts-v1-test-029,3.0905535
boostcamp-sts-v1-test-030,4.4256086
boostcamp-sts-v1-test-031,1.0300403
boostcamp-sts-v1-test-032,2.6533906
boostcamp-sts-v1-test-033,3.424339
boostcamp-sts-v1-test-034,3.6753778
boostcamp-sts-v1-test-035,0.9201973
boostcamp-sts-v1-test-036,2.4776146
boostcamp-sts-v1-test-037,0.53496015
boostcamp-sts-v1-test-038,0.84684867
boostcamp-sts-v1-test-039,3.80734
boostcamp-sts-v1-test-040,0.38406694
boostcamp-sts-v1-test-041,3.9604082
boostcamp-sts-v1-test-042,0.62425554
boostcamp-sts-v1-test-043,1.2252731
boostcamp-sts-v1-test-044,2.5626185
boostcamp-sts-v1-test-045,5.217382
boostcamp-sts-v1-test-046,2.6820807
boostcamp-sts-v1-test-047,1.615319
boostcamp-sts-v1-test-048,0.41234076
boostcamp-sts-v1-test-049,3.544051
boostcamp-sts-v1-test-050,0.19998233
boostcamp-sts-v1-test-051,1.2421823
boostcamp-sts-v1-test-052,3.0127497
boostcamp-sts-v1-test-053,3.4201677
boostcamp-sts-v1-test-054,3.9808824
boostcamp-sts-v1-test-055,2.0393798
boostcamp-sts-v1-test-056,4.2320914
boostcamp-sts-v1-test-057,1.2401615
boostcamp-sts-v1-test-058,2.7494283
boostcamp-sts-v1-test-059,3.6833396
boostcamp-sts-v1-test-060,4.7765183
boostcamp-sts-v1-test-061,3.9329302
boostcamp-sts-v1-test-062,1.9515576
boostcamp-sts-v1-test-063,1.3689446
boostcamp-sts-v1-test-064,2.3486686
boostcamp-sts-v1-test-065,4.7964587
boostcamp-sts-v1-test-066,3.5342693
boostcamp-sts-v1-test-067,0.9560777
boostcamp-sts-v1-test-068,2.4582112
boostcamp-sts-v1-test-069,3.281844
boostcamp-sts-v1-test-070,0.5424554
boostcamp-sts-v1-test-071,3.556699
boostcamp-sts-v1-test-072,4.759875
boostcamp-sts-v1-test-073,4.415818
boostcamp-sts-v1-test-074,0.29922575
boostcamp-sts-v1-test-075,1.7887319
boostcamp-sts-v1-test-076,3.5510623
boostcamp-sts-v1-test-077,2.866803
boostcamp-sts-v1-test-078,2.9145002
boostcamp-sts-v1-test-079,4.0276465
boostcamp-sts-v1-test-080,1.1011827
boostcamp-sts-v1-test-081,4.3171463
boostcamp-sts-v1-test-082,1.5437865
boostcamp-sts-v1-test-083,1.9519464
boostcamp-sts-v1-test-084,1.122605
boostcamp-sts-v1-test-085,4.902449
boostcamp-sts-v1-test-086,4.258528
boostcamp-sts-v1-test-087,1.0476782
boostcamp-sts-v1-test-088,4.188578
