id,target
boostcamp-sts-v1-test-000,3.34
boostcamp-sts-v1-test-001,4.81
boostcamp-sts-v1-test-002,2.2
boostcamp-sts-v1-test-003,0.14
boostcamp-sts-v1-test-004,4.46
boostcamp-sts-v1-test-005,3.37
boostcamp-sts-v1-test-006,4.55
boostcamp-sts-v1-test-007,1.4
boostcamp-sts-v1-test-008,0.29
boostcamp-sts-v1-test-009,4.74
boostcamp-sts-v1-test-010,1.66
boostcamp-sts-v1-test-011,3.04
boostcamp-sts-v1-test-012,2.62
boostcamp-sts-v1-test-013,2.31
boostcamp-sts-v1-test-014,2.04
boostcamp-sts-v1-test-015,4.74
boostcamp-sts-v1-test-016,5.03
boostcamp-sts-v1-test-017,3.08
boostcamp-sts-v1-test-018,5.02
boostcamp-sts-v1-test-019,4.73
boostcamp-sts-v1-test-020,3.33
boostcamp-sts-v1-test-021,2.49
boostcamp-sts-v1-test-022,1.6
boostcamp-sts-v1-test-023,0.61
boostcamp-sts-v1-test-024,1.87
boostcamp-sts-v1-test-025,2.15
boostcamp-sts-v1-test-026,1.19
boostcamp-sts-v1-test-027,1.53
boostcamp-sts-v1-test-028,4.23
boostcamp-sts-v1-test-029,3.09
boostcamp-sts-v1-test-030,4.43
boostcamp-sts-v1-test-031,1.03
boostcamp-sts-v1-test-032,2.65
boostcamp-sts-v1-test-033,3.42
boostcamp-sts-v1-test-034,3.68
boostcamp-sts-v1-test-035,0.92
boostcamp-sts-v1-test-036,2.48
boostcamp-sts-v1-test-037,0.53
boostcamp-sts-v1-test-038,0.85
boostcamp-sts-v1-test-039,3.81
boostcamp-sts-v1-test-040,0.38
boostcamp-sts-v1-test-041,3.96
boostcamp-sts-v1-test-042,0.62
boostcamp-sts-v1-test-043,1.23
boostcamp-sts-v1-test-044,2.56
boostcamp-sts-v1-test-045,5.22
boostcamp-sts-v1-test-046,2.68
boostcamp-sts-v1-test-047,1.62
boostcamp-sts-v1-test-048,0.41
boostcamp-sts-v1-test-049,3.54
boostcamp-sts-v1-test-050,0.2
boostcamp-sts-v1-test-051,1.24
boostcamp-sts-v1-test-052,3.01
boostcamp-sts-v1-test-053,3.42
boostcamp-sts-v1-test-054,3.98
boostcamp-sts-v1-test-055,2.04
boostcamp-sts-v1-test-056,4.23
boostcamp-sts-v1-test-057,1.24
boostcamp-sts-v1-test-058,2.75
boostcamp-sts-v1-test-059,3.68
boostcamp-sts-v1-test-060,4.78
boostcamp-sts-v1-test-061,3.93
boostcamp-sts-v1-test-062,1.95
boostcamp-sts-v1-test-063,1.37
boostcamp-sts-v1-test-064,2.35
boostcamp-sts-v1-test-065,4.8
boostcamp-sts-v1-test-066,3.53
boostcamp-sts-v1-test-067,0.96
boostcamp-sts-v1-test-068,2.46
boostcamp-sts-v1-test-069,3.28
boostcamp-sts-v1-test-070,0.54
boostcamp-sts-v1-test-071,3.56
boostcamp-sts-v1-test-072,4.76
boostcamp-sts-v1-test-073,4.42
boostcamp-sts-v1-test-074,0.3
boostcamp-sts-v1-test-075,1.79
boostcamp-sts-v1-test-076,3.55
boostcamp-sts-v1-test-077,2.87
boostcamp-sts-v1-test-078,2.91
boostcamp-sts-v1-test-079,4.03
boostcamp-sts-v1-test-080,1.1
boostcamp-sts-v1-test-081,4.32
boostcamp-sts-v1-test-082,1.54
boostcamp-sts-v1-test-083,1.95
boostcamp-sts-v1-test-084,1.12
boostcamp-sts-v1-test-085,4.9
boostcamp-sts-v1-test-086,4.26
boostcamp-sts-v1-test-087,1.05
boostcamp-sts-v1-test-088,4.19
boostcamp-sts-v1-test-089,4.08
boostcamp-sts-v1-test-090,4.95
boostcamp-sts-v1-test-091,3.13
boostcamp-sts-v1-test-092,0.82
boostcamp-sts-v1-test-093,2.26
